#Material,IP1,EA1,homo1,lumo1,IP2,EA2,homo2,lumo2,r_s1,r_p1,r_d1,atomicRadius1,r_val1,r_cov1,r_s2,r_p2,r_d2,atomicRadius2,r_val2,r_cov2,Z1,Z2,electronegativity1,electronegativity2,polarizability1,polarizability2,polariz_new1,polariz_new2,column1,Nunfilled1,valence1,column_up181,column2,Nunfilled2,valence2,column_up182,Odd,Occ1,Occ2,orb1,orb2,Gap
Na-Si,-5.1426,-0.6355,-0.2186,0.9747,-7.6857,-0.8063,-4.0809,3.7444,1.7586,2.2172,8.6288,1.54,1.7586,1.66,0.9466,1.1405,1.1619,1.11,1.1405,1.11,11,14,0.93,1.9,24.11,5.53,162.7,37.31,1,1,1,1,4,4,4,14,-1,1,2,0.5,0.33333333,0
Na-Sn,-5.1426,-0.6355,-0.2186,0.9747,-6.831,-0.8358,-3.6934,2.8969,1.7586,2.2172,8.6288,1.54,1.7586,1.66,1.066,1.3554,0.4694,1.41,1.3554,1.39,11,50,0.93,1.96,24.11,7.06,162.7,56.34,1,1,1,1,4,4,14,14,-1,1,2,0.5,0.33333333,0
Na-Sr,-5.1426,-0.6355,-0.2186,0.9747,-5.8607,0.9177,-3.5253,-1.1102,1.7586,2.2172,8.6288,1.54,1.7586,1.66,1.9583,2.2671,1.0556,1.92,1.9583,1.95,11,38,0.93,0.95,24.11,25.55,162.7,197.2,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Na-Te,-5.1426,-0.6355,-0.2186,0.9747,-9.696,-2.4472,-5.9517,3.9881,1.7586,2.2172,8.6288,1.54,1.7586,1.66,0.9497,1.1492,0.4293,1.35,1.1492,1.38,11,52,0.93,2.1,24.11,5.5,162.7,37,1,1,1,1,6,2,16,16,-1,1,4,0.5,0.66666667,0
Si-Cs,-7.6857,-0.8063,-4.0809,3.7444,-3.8463,-0.5091,-2.0859,-0.2279,0.9466,1.1405,1.1619,1.11,1.1405,1.11,2.5357,2.7555,1.8065,2.25,2.5357,2.44,14,55,1.9,0.79,5.53,59.42,37.31,399.9,4,4,4,14,1,1,1,1,-1,2,1,0.33333333,0.5,0
Si-Rb,-7.6857,-0.8063,-4.0809,3.7444,-4.1437,-0.4859,-2.2313,-0.1321,0.9466,1.1405,1.1619,1.11,1.1405,1.11,2.3142,2.517,1.9965,2.11,2.3142,2.2,14,37,1.9,0.82,5.53,47.27,37.31,318.8,4,4,4,14,1,1,1,1,-1,2,1,0.33333333,0.5,0
B-Ba,-8.1261,0.0312,-3.6067,2.4547,-5.3475,1.0568,-3.2293,-1.9206,0.8025,0.8348,1.3619,0.82,0.8348,0.84,2.1967,2.3694,1.2663,1.98,2.1967,2.15,5,56,2.04,0.89,3.03,39.7,20.53,272.7,3,5,3,13,2,0,2,2,-1,1,2,0.16666667,1,0
Be-F,-9.5007,0.7972,-5.6097,-2.0104,-19.2531,-4.0848,-11.114,1.7177,1.0805,1.2128,1.9594,0.9,1.0805,0.96,0.4044,0.374,1.0655,0.71,0.374,0.57,4,9,1.57,3.98,5.6,0.557,37.71,3.7,2,0,2,2,7,1,7,17,-1,2,5,1,0.83333333,0
Be-K,-9.5007,0.7972,-5.6097,-2.0104,-4.3142,-0.4514,-2.3189,-0.404,1.0805,1.2128,1.9594,0.9,1.0805,0.96,2.2049,0.9378,0.9378,1.96,2.2049,2.03,4,19,1.57,0.82,5.6,43.23,37.71,290.6,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
B-Pb,-8.1261,0.0312,-3.6067,2.4547,-6.54,-0.7047,-3.496,2.5655,0.8025,0.8348,1.3619,0.82,0.8348,0.84,1.0396,1.4049,0.5676,1.47,1.4049,1.46,5,82,2.04,2.33,3.03,6.995,20.53,47.71,3,5,3,13,4,4,28,14,-1,1,2,0.16666667,0.33333333,0
B-Sr,-8.1261,0.0312,-3.6067,2.4547,-5.8607,0.9177,-3.5253,-1.1102,0.8025,0.8348,1.3619,0.82,0.8348,0.84,1.9583,2.2671,1.0556,1.92,1.9583,1.95,5,38,2.04,0.95,3.03,25.55,20.53,197.2,3,5,3,13,2,0,2,2,-1,1,2,0.16666667,1,0
C-Na,-10.7409,-0.7107,-5.2854,3.7464,-5.1426,-0.6355,-0.2186,0.9747,0.6418,0.6367,1.1355,0.77,0.6367,0.76,1.7586,2.2172,8.6288,1.54,1.7586,1.66,6,11,2.55,0.93,1.67,24.11,11.26,162.7,4,4,4,14,1,1,1,1,-1,2,1,0.33333333,0.5,0
C-Sb,-10.7409,-0.7107,-5.2854,3.7464,-8.2918,-1.5672,-4.8268,4.7346,0.6418,0.6367,1.1355,0.77,0.6367,0.76,1.0035,1.24,0.4483,1.38,1.24,1.39,6,51,2.55,2.05,1.67,6.6,11.26,42.55,4,4,4,14,5,3,15,15,-1,2,3,0.33333333,0.5,0
K-Ba,-4.3142,-0.4514,-2.3189,-0.404,-5.3475,1.0568,-3.2293,-1.9206,2.2049,0.9378,0.9378,1.96,2.2049,2.03,2.1967,2.3694,1.2663,1.98,2.1967,2.15,19,56,0.82,0.89,43.23,39.7,290.6,272.7,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
K-Ca,-4.3142,-0.4514,-2.3189,-0.404,-6.2818,1.2046,-3.7676,-1.9349,2.2049,0.9378,0.9378,1.96,2.2049,2.03,1.7988,2.0269,0.695,1.74,1.7988,1.76,19,20,0.82,1,43.23,25.733,290.6,160.77,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
K-Sr,-4.3142,-0.4514,-2.3189,-0.404,-5.8607,0.9177,-3.5253,-1.1102,2.2049,0.9378,0.9378,1.96,2.2049,2.03,1.9583,2.2671,1.0556,1.92,1.9583,1.95,19,38,0.82,0.95,43.23,25.55,290.6,197.2,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
